DSH_target,DSC_target,f_comp
2.894736842105263,1.9473684210526314,65.625
2.894736842105263,1.9473684210526314,106.25
2.894736842105263,1.9473684210526314,146.875
2.894736842105263,1.9473684210526314,187.5
2.894736842105263,1.9473684210526314,228.125
2.894736842105263,1.9473684210526314,268.75
2.894736842105263,1.9473684210526314,309.375
2.894736842105263,1.9473684210526314,350.0
2.894736842105263,1.9473684210526314,390.625
2.894736842105263,1.9473684210526314,431.25
2.894736842105263,1.9473684210526314,471.875
2.894736842105263,1.9473684210526314,512.5
2.894736842105263,1.9473684210526314,553.125
2.894736842105263,1.9473684210526314,593.75
2.894736842105263,1.9473684210526314,634.375
2.894736842105263,1.9473684210526314,675.0
2.894736842105263,1.9473684210526314,715.625
2.894736842105263,1.9473684210526314,756.25
2.894736842105263,1.9473684210526314,796.875
2.894736842105263,1.9473684210526314,837.5
2.894736842105263,1.9473684210526314,878.125
2.894736842105263,1.9473684210526314,918.75
2.894736842105263,1.9473684210526314,959.375
2.894736842105263,1.9473684210526314,1000.0
2.894736842105263,2.4210526315789473,25.0
2.894736842105263,2.4210526315789473,65.625
2.894736842105263,2.4210526315789473,106.25
2.894736842105263,2.4210526315789473,146.875
2.894736842105263,2.4210526315789473,187.5
2.894736842105263,2.4210526315789473,228.125
2.894736842105263,2.4210526315789473,268.75
2.894736842105263,2.4210526315789473,309.375
2.894736842105263,2.4210526315789473,350.0
2.894736842105263,2.4210526315789473,390.625
2.894736842105263,2.4210526315789473,431.25
2.894736842105263,2.4210526315789473,471.875
2.894736842105263,2.4210526315789473,512.5
2.894736842105263,2.4210526315789473,553.125
2.894736842105263,2.4210526315789473,593.75
2.894736842105263,2.4210526315789473,634.375
2.894736842105263,2.4210526315789473,675.0
2.894736842105263,2.4210526315789473,715.625
2.894736842105263,2.4210526315789473,756.25
2.894736842105263,2.4210526315789473,796.875
2.894736842105263,2.4210526315789473,837.5
2.894736842105263,2.4210526315789473,878.125
2.894736842105263,2.4210526315789473,918.75
2.894736842105263,2.4210526315789473,959.375
2.894736842105263,2.4210526315789473,1000.0
2.894736842105263,2.894736842105263,25.0
2.894736842105263,2.894736842105263,65.625
2.894736842105263,2.894736842105263,106.25
2.894736842105263,2.894736842105263,146.875
2.894736842105263,2.894736842105263,187.5
2.894736842105263,2.894736842105263,228.125
2.894736842105263,2.894736842105263,268.75
2.894736842105263,2.894736842105263,309.375
2.894736842105263,2.894736842105263,350.0
2.894736842105263,2.894736842105263,390.625
2.894736842105263,2.894736842105263,431.25
2.894736842105263,2.894736842105263,471.875
2.894736842105263,2.894736842105263,512.5
2.894736842105263,2.894736842105263,553.125
2.894736842105263,2.894736842105263,593.75
2.894736842105263,2.894736842105263,634.375
2.894736842105263,2.894736842105263,675.0
2.894736842105263,2.894736842105263,715.625
2.894736842105263,2.894736842105263,756.25
2.894736842105263,2.894736842105263,796.875
2.894736842105263,2.894736842105263,837.5
2.894736842105263,2.894736842105263,878.125
2.894736842105263,2.894736842105263,918.75
2.894736842105263,2.894736842105263,959.375
2.894736842105263,2.894736842105263,1000.0
2.894736842105263,3.3684210526315788,25.0
2.894736842105263,3.3684210526315788,65.625
2.894736842105263,3.3684210526315788,106.25
2.894736842105263,3.3684210526315788,146.875
2.894736842105263,3.3684210526315788,187.5
2.894736842105263,3.3684210526315788,228.125
2.894736842105263,3.3684210526315788,268.75
2.894736842105263,3.3684210526315788,309.375
2.894736842105263,3.3684210526315788,350.0
2.894736842105263,3.3684210526315788,390.625
2.894736842105263,3.3684210526315788,431.25
2.894736842105263,3.3684210526315788,471.875
2.894736842105263,3.3684210526315788,512.5
2.894736842105263,3.3684210526315788,553.125
2.894736842105263,3.3684210526315788,593.75
2.894736842105263,3.3684210526315788,634.375
2.894736842105263,3.3684210526315788,675.0
2.894736842105263,3.3684210526315788,715.625
2.894736842105263,3.3684210526315788,756.25
2.894736842105263,3.3684210526315788,796.875
2.894736842105263,3.3684210526315788,837.5
2.894736842105263,3.3684210526315788,878.125
2.894736842105263,3.3684210526315788,918.75
2.894736842105263,3.3684210526315788,959.375
2.894736842105263,3.3684210526315788,1000.0
2.894736842105263,3.8421052631578947,25.0
2.894736842105263,3.8421052631578947,65.625
2.894736842105263,3.8421052631578947,106.25
2.894736842105263,3.8421052631578947,146.875
2.894736842105263,3.8421052631578947,187.5
2.894736842105263,3.8421052631578947,228.125
2.894736842105263,3.8421052631578947,268.75
2.894736842105263,3.8421052631578947,309.375
2.894736842105263,3.8421052631578947,350.0
2.894736842105263,3.8421052631578947,390.625
2.894736842105263,3.8421052631578947,431.25
2.894736842105263,3.8421052631578947,471.875
2.894736842105263,3.8421052631578947,512.5
2.894736842105263,3.8421052631578947,553.125
2.894736842105263,3.8421052631578947,593.75
2.894736842105263,3.8421052631578947,634.375
2.894736842105263,3.8421052631578947,675.0
2.894736842105263,3.8421052631578947,715.625
2.894736842105263,3.8421052631578947,756.25
2.894736842105263,3.8421052631578947,796.875
2.894736842105263,3.8421052631578947,837.5
2.894736842105263,3.8421052631578947,878.125
2.894736842105263,3.8421052631578947,918.75
2.894736842105263,3.8421052631578947,959.375
2.894736842105263,3.8421052631578947,1000.0
2.894736842105263,4.315789473684211,25.0
2.894736842105263,4.315789473684211,65.625
2.894736842105263,4.315789473684211,106.25
2.894736842105263,4.315789473684211,146.875
2.894736842105263,4.315789473684211,187.5
2.894736842105263,4.315789473684211,228.125
2.894736842105263,4.315789473684211,268.75
2.894736842105263,4.315789473684211,309.375
2.894736842105263,4.315789473684211,350.0
2.894736842105263,4.315789473684211,390.625
2.894736842105263,4.315789473684211,431.25
2.894736842105263,4.315789473684211,471.875
2.894736842105263,4.315789473684211,512.5
2.894736842105263,4.315789473684211,553.125
2.894736842105263,4.315789473684211,593.75
2.894736842105263,4.315789473684211,634.375
2.894736842105263,4.315789473684211,675.0
2.894736842105263,4.315789473684211,715.625
2.894736842105263,4.315789473684211,756.25
2.894736842105263,4.315789473684211,796.875
2.894736842105263,4.315789473684211,837.5
2.894736842105263,4.315789473684211,878.125
2.894736842105263,4.315789473684211,918.75
2.894736842105263,4.315789473684211,959.375
2.894736842105263,4.315789473684211,1000.0
2.894736842105263,4.789473684210526,25.0
2.894736842105263,4.789473684210526,65.625
2.894736842105263,4.789473684210526,106.25
2.894736842105263,4.789473684210526,146.875
2.894736842105263,4.789473684210526,187.5
2.894736842105263,4.789473684210526,228.125
2.894736842105263,4.789473684210526,268.75
2.894736842105263,4.789473684210526,309.375
2.894736842105263,4.789473684210526,350.0
2.894736842105263,4.789473684210526,390.625
2.894736842105263,4.789473684210526,431.25
2.894736842105263,4.789473684210526,471.875
2.894736842105263,4.789473684210526,512.5
2.894736842105263,4.789473684210526,553.125
2.894736842105263,4.789473684210526,593.75
2.894736842105263,4.789473684210526,634.375
2.894736842105263,4.789473684210526,675.0
2.894736842105263,4.789473684210526,715.625
2.894736842105263,4.789473684210526,756.25
2.894736842105263,4.789473684210526,796.875
2.894736842105263,4.789473684210526,837.5
2.894736842105263,4.789473684210526,878.125
2.894736842105263,4.789473684210526,918.75
2.894736842105263,4.789473684210526,959.375
2.894736842105263,4.789473684210526,1000.0
2.894736842105263,5.263157894736842,25.0
2.894736842105263,5.263157894736842,65.625
2.894736842105263,5.263157894736842,106.25
2.894736842105263,5.263157894736842,146.875
2.894736842105263,5.263157894736842,187.5
2.894736842105263,5.263157894736842,228.125
2.894736842105263,5.263157894736842,268.75
2.894736842105263,5.263157894736842,309.375
2.894736842105263,5.263157894736842,350.0
2.894736842105263,5.263157894736842,390.625
2.894736842105263,5.263157894736842,431.25
2.894736842105263,5.263157894736842,471.875
2.894736842105263,5.263157894736842,512.5
2.894736842105263,5.263157894736842,553.125
2.894736842105263,5.263157894736842,593.75
2.894736842105263,5.263157894736842,634.375
2.894736842105263,5.263157894736842,675.0
2.894736842105263,5.263157894736842,715.625
2.894736842105263,5.263157894736842,756.25
2.894736842105263,5.263157894736842,796.875
2.894736842105263,5.263157894736842,837.5
2.894736842105263,5.263157894736842,878.125
2.894736842105263,5.263157894736842,918.75
2.894736842105263,5.263157894736842,959.375
2.894736842105263,5.263157894736842,1000.0
2.894736842105263,5.7368421052631575,25.0
2.894736842105263,5.7368421052631575,65.625
2.894736842105263,5.7368421052631575,106.25
2.894736842105263,5.7368421052631575,146.875
2.894736842105263,5.7368421052631575,187.5
2.894736842105263,5.7368421052631575,228.125
2.894736842105263,5.7368421052631575,268.75
2.894736842105263,5.7368421052631575,309.375
2.894736842105263,5.7368421052631575,350.0
2.894736842105263,5.7368421052631575,390.625
2.894736842105263,5.7368421052631575,431.25
2.894736842105263,5.7368421052631575,471.875
2.894736842105263,5.7368421052631575,512.5
2.894736842105263,5.7368421052631575,553.125
2.894736842105263,5.7368421052631575,593.75
2.894736842105263,5.7368421052631575,634.375
2.894736842105263,5.7368421052631575,675.0
2.894736842105263,5.7368421052631575,715.625
2.894736842105263,5.7368421052631575,756.25
2.894736842105263,5.7368421052631575,796.875
2.894736842105263,5.7368421052631575,837.5
2.894736842105263,5.7368421052631575,878.125
2.894736842105263,5.7368421052631575,918.75
2.894736842105263,5.7368421052631575,959.375
2.894736842105263,5.7368421052631575,1000.0
2.894736842105263,6.2105263157894735,25.0
2.894736842105263,6.2105263157894735,65.625
2.894736842105263,6.2105263157894735,106.25
2.894736842105263,6.2105263157894735,146.875
2.894736842105263,6.2105263157894735,187.5
2.894736842105263,6.2105263157894735,228.125
2.894736842105263,6.2105263157894735,268.75
2.894736842105263,6.2105263157894735,309.375
2.894736842105263,6.2105263157894735,350.0
2.894736842105263,6.2105263157894735,390.625
2.894736842105263,6.2105263157894735,431.25
2.894736842105263,6.2105263157894735,471.875
2.894736842105263,6.2105263157894735,512.5
2.894736842105263,6.2105263157894735,553.125
2.894736842105263,6.2105263157894735,593.75
2.894736842105263,6.2105263157894735,634.375
2.894736842105263,6.2105263157894735,675.0
2.894736842105263,6.2105263157894735,715.625
2.894736842105263,6.2105263157894735,756.25
2.894736842105263,6.2105263157894735,796.875
2.894736842105263,6.2105263157894735,837.5
2.894736842105263,6.2105263157894735,878.125
2.894736842105263,6.2105263157894735,918.75
2.894736842105263,6.2105263157894735,959.375
2.894736842105263,6.2105263157894735,1000.0
2.894736842105263,6.684210526315789,25.0
2.894736842105263,6.684210526315789,65.625
2.894736842105263,6.684210526315789,106.25
2.894736842105263,6.684210526315789,146.875
2.894736842105263,6.684210526315789,187.5
2.894736842105263,6.684210526315789,228.125
2.894736842105263,6.684210526315789,268.75
2.894736842105263,6.684210526315789,309.375
2.894736842105263,6.684210526315789,350.0
2.894736842105263,6.684210526315789,390.625
2.894736842105263,6.684210526315789,431.25
2.894736842105263,6.684210526315789,471.875
2.894736842105263,6.684210526315789,512.5
2.894736842105263,6.684210526315789,553.125
2.894736842105263,6.684210526315789,593.75
2.894736842105263,6.684210526315789,634.375
2.894736842105263,6.684210526315789,675.0
2.894736842105263,6.684210526315789,715.625
2.894736842105263,6.684210526315789,756.25
2.894736842105263,6.684210526315789,796.875
2.894736842105263,6.684210526315789,837.5
2.894736842105263,6.684210526315789,878.125
2.894736842105263,6.684210526315789,918.75
2.894736842105263,6.684210526315789,959.375
2.894736842105263,6.684210526315789,1000.0
2.894736842105263,7.157894736842105,25.0
2.894736842105263,7.157894736842105,65.625
2.894736842105263,7.157894736842105,106.25
2.894736842105263,7.157894736842105,146.875
2.894736842105263,7.157894736842105,187.5
2.894736842105263,7.157894736842105,228.125
2.894736842105263,7.157894736842105,268.75
2.894736842105263,7.157894736842105,309.375
2.894736842105263,7.157894736842105,350.0
2.894736842105263,7.157894736842105,390.625
2.894736842105263,7.157894736842105,431.25
2.894736842105263,7.157894736842105,471.875
2.894736842105263,7.157894736842105,512.5
2.894736842105263,7.157894736842105,553.125
2.894736842105263,7.157894736842105,593.75
2.894736842105263,7.157894736842105,634.375
2.894736842105263,7.157894736842105,675.0
2.894736842105263,7.157894736842105,715.625
2.894736842105263,7.157894736842105,756.25
2.894736842105263,7.157894736842105,796.875
2.894736842105263,7.157894736842105,837.5
2.894736842105263,7.157894736842105,878.125
2.894736842105263,7.157894736842105,918.75
2.894736842105263,7.157894736842105,959.375
2.894736842105263,7.157894736842105,1000.0
2.894736842105263,7.63157894736842,25.0
2.894736842105263,7.63157894736842,65.625
2.894736842105263,7.63157894736842,106.25
2.894736842105263,7.63157894736842,146.875
2.894736842105263,7.63157894736842,187.5
2.894736842105263,7.63157894736842,228.125
2.894736842105263,7.63157894736842,268.75
2.894736842105263,7.63157894736842,309.375
2.894736842105263,7.63157894736842,350.0
2.894736842105263,7.63157894736842,390.625
2.894736842105263,7.63157894736842,431.25
2.894736842105263,7.63157894736842,471.875
2.894736842105263,7.63157894736842,512.5
2.894736842105263,7.63157894736842,553.125
2.894736842105263,7.63157894736842,593.75
2.894736842105263,7.63157894736842,634.375
2.894736842105263,7.63157894736842,675.0
2.894736842105263,7.63157894736842,715.625
2.894736842105263,7.63157894736842,756.25
2.894736842105263,7.63157894736842,796.875
2.894736842105263,7.63157894736842,837.5
2.894736842105263,7.63157894736842,878.125
2.894736842105263,7.63157894736842,918.75
2.894736842105263,7.63157894736842,959.375
2.894736842105263,7.63157894736842,1000.0
2.894736842105263,8.105263157894736,25.0
2.894736842105263,8.105263157894736,65.625
2.894736842105263,8.105263157894736,106.25
2.894736842105263,8.105263157894736,146.875
2.894736842105263,8.105263157894736,187.5
2.894736842105263,8.105263157894736,228.125
2.894736842105263,8.105263157894736,268.75
2.894736842105263,8.105263157894736,309.375
2.894736842105263,8.105263157894736,350.0
2.894736842105263,8.105263157894736,390.625
2.894736842105263,8.105263157894736,431.25
2.894736842105263,8.105263157894736,471.875
2.894736842105263,8.105263157894736,512.5
2.894736842105263,8.105263157894736,553.125
2.894736842105263,8.105263157894736,593.75
2.894736842105263,8.105263157894736,634.375
2.894736842105263,8.105263157894736,675.0
2.894736842105263,8.105263157894736,715.625
2.894736842105263,8.105263157894736,756.25
2.894736842105263,8.105263157894736,796.875
2.894736842105263,8.105263157894736,837.5
2.894736842105263,8.105263157894736,878.125
2.894736842105263,8.105263157894736,918.75
2.894736842105263,8.105263157894736,959.375
2.894736842105263,8.105263157894736,1000.0
2.894736842105263,8.578947368421051,25.0
2.894736842105263,8.578947368421051,65.625
2.894736842105263,8.578947368421051,106.25
2.894736842105263,8.578947368421051,146.875
2.894736842105263,8.578947368421051,187.5
2.894736842105263,8.578947368421051,228.125
2.894736842105263,8.578947368421051,268.75
2.894736842105263,8.578947368421051,309.375
2.894736842105263,8.578947368421051,350.0
2.894736842105263,8.578947368421051,390.625
2.894736842105263,8.578947368421051,431.25
2.894736842105263,8.578947368421051,471.875
2.894736842105263,8.578947368421051,512.5
2.894736842105263,8.578947368421051,553.125
2.894736842105263,8.578947368421051,593.75
2.894736842105263,8.578947368421051,634.375
2.894736842105263,8.578947368421051,675.0
2.894736842105263,8.578947368421051,715.625
2.894736842105263,8.578947368421051,756.25
2.894736842105263,8.578947368421051,796.875
2.894736842105263,8.578947368421051,837.5
2.894736842105263,8.578947368421051,878.125
2.894736842105263,8.578947368421051,918.75
2.894736842105263,8.578947368421051,959.375
2.894736842105263,8.578947368421051,1000.0
2.894736842105263,9.052631578947368,25.0
2.894736842105263,9.052631578947368,65.625
2.894736842105263,9.052631578947368,106.25
